,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Indigenous,58.4006,39.2176,57.4922,56.1716,44.8915,47.1313,50.8609,41.9875,27.4083,29.856,24.8532,24.335,30.8301,13.7165,25.5049
Other Australians,36.8919,29.1235,20.2493,18.8368,16.474,15.8319,13.87,12.0198,9.3567,11.2136,10.2521,7.2707,6.7261,6.9817,9.6655
